feedback_id,feedback_theme,product_area,requested_feature,customer_name,segment,lifecycle_stage,roadmap_priority_score,priority_category,recommended_decision,recommended_owner,recommended_next_action
FB-005,Activation bug,Onboarding,Custom field import validation,Keystone Finance,Enterprise,Activation,87.7,Build now,Build now,Product,Scope Custom field import validation for this roadmap cycle and assign product owner.
FB-001,CRM integration,Integrations,Salesforce two-way sync,Aster Analytics,Enterprise,Sales,86.5,Build now,Build now,Product,Scope Salesforce two-way sync for this roadmap cycle and assign product owner.
FB-012,Enterprise controls,Admin,Advanced audit logs,Cedar Bank,Enterprise,Sales,84.7,Build now,Build now,Product,Scope Advanced audit logs for this roadmap cycle and assign product owner.
FB-034,Security export,Admin,Audit log export,Ironclad Manufacturing,Enterprise,Sales,84.3,Build now,Build now,Product,Scope Audit log export for this roadmap cycle and assign product owner.
FB-009,Reporting gap,Reporting,Business unit ROI dashboard,Harbor Freight Systems,Enterprise,Renewal,80.1,Build now,Build now,Product,Scope Business unit ROI dashboard for this roadmap cycle and assign product owner.
FB-030,Activation bug,Onboarding,Activation sync verification,Quartz Logistics,Mid-market,Activation,79.5,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Activation bug before committing build capacity.
FB-028,Admin analytics,Reporting,Department adoption dashboard,Horizon Clinics,Enterprise,Renewal,79.4,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Admin analytics before committing build capacity.
FB-008,Reporting gap,Reporting,Cohort reporting,Riverbend Insurance,Enterprise,Retention,79.2,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Reporting gap before committing build capacity.
FB-025,API reliability,API,Higher rate limit and retry policy,Zenith Supply,Enterprise,Retention,78.4,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on API reliability before committing build capacity.
FB-013,Enterprise controls,Admin,Session policy controls,Greenfield Capital,Enterprise,Sales,76.8,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Enterprise controls before committing build capacity.
FB-002,CRM integration,Integrations,HubSpot activity sync,Northstar Robotics,Mid-market,Sales,75.2,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on CRM integration before committing build capacity.
FB-018,Workflow automation,Automation,Exception routing workflow,Vector Cloud,Mid-market,Demo,74.4,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Workflow automation before committing build capacity.
FB-010,Team permissions,Permissions,Region-level admin roles,TerraGrid Energy,Enterprise,Expansion,70.0,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Team permissions before committing build capacity.
FB-020,Usage reporting,Reporting,Team usage analytics,Falcon Security,Enterprise,Expansion,70.0,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Usage reporting before committing build capacity.
FB-004,Setup workflow,Onboarding,Guided role mapping wizard,Beacon Benefits,Mid-market,Onboarding,69.5,Validate next,Solve with onboarding,Customer Success,Update onboarding flow or checklist for Setup workflow before adding product scope.
FB-031,Enterprise controls,Admin,Delegated admin roles,NovaPay Systems,Enterprise,Expansion,67.4,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Enterprise controls before committing build capacity.
FB-019,Workflow automation,Automation,Automated exception triage,Oakstone HR,Mid-market,Retention,67.3,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Workflow automation before committing build capacity.
FB-023,Onboarding checklist,Onboarding,Handoff checklist,Summit Legal Ops,Mid-market,Onboarding,67.0,Validate next,Solve with onboarding,Customer Success,Update onboarding flow or checklist for Onboarding checklist before adding product scope.
FB-024,Notification reliability,API,Failed import webhook alert,Novel Foods,Growth,Support,64.0,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Notification reliability before committing build capacity.
FB-003,CRM integration,Integrations,CRM export templates,Cloudlane Ops,Growth,Demo,63.6,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on CRM integration before committing build capacity.
FB-029,Admin analytics,Reporting,Manager adoption scorecards,Apex Robotics,Enterprise,Expansion,63.5,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Admin analytics before committing build capacity.
FB-007,Dashboard performance,Reporting,Async report export,Atlas Legal,Mid-market,Support,62.3,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Dashboard performance before committing build capacity.
FB-006,Dashboard performance,Reporting,Faster manager dashboard,Luma Health,Growth,Support,60.8,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Dashboard performance before committing build capacity.
FB-022,Sales narrative,Onboarding,Activation proof narrative,HelioWorks,Mid-market,Sales,60.7,Validate next,Solve with sales narrative,Sales or Founder,Rewrite sales narrative and proof for Sales narrative; monitor if objection persists.
FB-011,Team permissions,Permissions,Department permissions,Orbit Labs,Mid-market,Expansion,60.0,Validate next,Validate with customers,Founder or Product,Run discovery with 3 to 5 accounts on Team permissions before committing build capacity.
FB-032,Documentation gap,Documentation,Metric formula documentation,Evergreen Retail,Mid-market,Support,55.2,Watch,Solve with support process,Support or Customer Success,"Add support, docs, or CS playbook fix for Documentation gap; track ticket reduction."
FB-033,Customer proof,Reporting,Customer proof library,SignalForge AI,Growth,Demo,53.8,Watch,Add to roadmap candidate list,Founder,Keep Customer proof library in candidate list and review if signal repeats next cycle.
FB-021,Customer proof,Reporting,Proof metrics export,BluePeak Software,Growth,Retention,53.4,Watch,Add to roadmap candidate list,Customer Success,Keep Proof metrics export in candidate list and review if signal repeats next cycle.
FB-014,Documentation gap,Documentation,Approval routing guide,Metro Clinics,Mid-market,Support,52.7,Watch,Solve with support process,Support or Customer Success,"Add support, docs, or CS playbook fix for Documentation gap; track ticket reduction."
FB-026,Support triage,Support Experience,Release change support macro,Meridian Schools,Mid-market,Support,51.6,Watch,Solve with support process,Support or Customer Success,"Add support, docs, or CS playbook fix for Support triage; track ticket reduction."
FB-015,Training gap,Onboarding,Workspace setup training,Pioneer AI Studio,Growth,Onboarding,50.4,Watch,Solve with onboarding,Customer Success,Update onboarding flow or checklist for Training gap before adding product scope.
FB-027,Pricing packaging,Packaging,Lower tier package,Canyon Analytics,Growth,Sales,33.9,Defer,Defer,Founder,"Defer Lower tier package until revenue, retention, or frequency signal increases."
FB-035,Niche customization,Reporting,Accounting language pack,Prairie Accounting,SMB,Retention,28.2,Defer,Reject,Founder,Reject or archive Accounting language pack because fit or leverage is too low.
FB-017,Niche customization,Admin,Dental note template,Maple Dental Group,SMB,Sales,25.4,Defer,Reject,Founder,Reject or archive Dental note template because fit or leverage is too low.
FB-016,Niche customization,Reporting,Custom invoice label colors,Silverline Retail,SMB,Support,22.3,Defer,Reject,Founder,Reject or archive Custom invoice label colors because fit or leverage is too low.
